#fast_compressed hash
#num		t_unopt[ns]	t_sorted1[ns]	t_fully_sorted[ns]
4            150	123					185
8            342	214					274
16          1086	579					568
32          4222	2107				1679
64         14670	8746				6528
128        54468	37395				40923
256       209807	126317				85750
512       769820	441108				181244
1024     5303436	3301858				463124
2048    14457060	7262600				1198013
4096    57482909	52686120			2448406
8192   242509133	112340633			5834319
16384  877823600	391091500			11163269

